id_contacto,nombre_contacto,email_contacto,telefono_contacto,cargo_contacto,origen,id_empresa,id_ejecutivo_comercial
9,Albano Llopis H,maitecalatayud@bonet.com,985822412,Director,Cliente,1,5
10,César Guerrero ,liliarivas@sanchez.org,932868828,Gerente,Cliente,2,3
11,Reynaldo Cuervo,fabricio35@gmail.com,990825067,Director,Prospecto,3,4
12,Goyo Caballero ,noemi07@hotmail.com,912575562,Gerente,Cliente,4,5
13,Íñigo Pinedo Be,crescencia31@gmail.com,903561597,Gerente,Prospecto,3,1
14,Rolando del Ber,pintoleopoldo@patino-canovas.es,979089901,Supervisor,Cliente,2,4
15,Clementina Lasa,fernandosevilla@lerma-gimenez.es,993702683,Analista,Prospecto,2,3
16,Darío Antón Mol,blas39@hotmail.com,928898923,Ejecutiv,Cliente,4,4
17,Cloe Valera Pri,juan-manuelchaparro@gmail.com,912981052,Ejecutiv,Prospecto,2,4
18,Lupita del Rome,isidoro28@yahoo.com,905831819,Asistente,Cliente,1,1
19,René Arévalo Ca,monicaroca@bartolome.es,974093639,Supervisor,Prospecto,2,3
20,Dionisia Alberd,maria-jose51@royo-cruz.es,994566031,Director,Cliente,5,5
21,Poncio Lago Val,martinprudencia@vera.es,938840994,Director,Cliente,4,1
22,Julián Abascal ,caparrosursula@yahoo.com,937308985,Asistente,Prospecto,3,1
23,Dimas Ambrosio ,wbayon@casas.com,947683626,Gerente,Prospecto,2,2
24,Juan Luis Rocha,sabas57@sanmiguel.net,986977837,Director,Cliente,3,1
25,Fortunato Almaz,beldalaura@barral.com,932857966,Coordin,Prospecto,3,1
26,Andrea Vilaplan,igargallo@gmail.com,985899313,Gerente,Prospecto,1,2
27,Maricruz Suárez,gfalcon@gmail.com,907507864,Gerente,Cliente,5,1
28,Felicidad Roda ,cabellobenjamin@yahoo.com,935935572,Director,Cliente,4,3
29,Rosalía Canales,brunildasanabria@roca.org,942235350,Gerente,Prospecto,3,4
30,Diana Benet Sal,alcoleaciro@delgado.es,961586053,Coordin,Prospecto,1,2
31,Clotilde Quero ,yabril@sanz-machado.es,999990728,Supervisor,Prospecto,2,2
32,Nadia del Corti,isaac09@barrera.com,948586340,Gerente,Cliente,3,1
33,Judith Valverde,estevezbruno@bayo.com,912201654,Manager,Cliente,3,2
34,Delia Ariño-Bil,juan-carlos35@gmail.com,921472420,Analista,Cliente,2,3
35,Hector Castro-M,ursula10@yahoo.com,979978790,Asistente,Prospecto,2,5
36,Marcela Armida ,pacobayona@gmail.com,991306093,Director,Prospecto,5,1
37,Elodia Cruz Río,marigracia@gmail.com,945657579,Director,Prospecto,1,1
38,Eligio Carlos C,lope93@novoa.es,960897765,Manager,Prospecto,2,3
39,Víctor Azcona-B,arsenio05@gmail.com,923978249,Director,Prospecto,2,1
40,Cecilio Sala-Ro,benetsol@company.com,981734598,Gerente,Cliente,5,1
41,Belen Arnaiz Me,pallareshumberto@hotmail.com,921682744,Manager,Prospecto,4,1
42,Nazario de Oter,angelaguzman@gmail.com,915014631,Ejecutiv,Prospecto,5,3
43,Valero Revilla ,micaela63@cuervo-campoy.es,932329237,Director,Cliente,3,1
44,Timoteo Sosa Gi,tolmo@gisbert.net,909289546,Coordin,Cliente,2,3
45,Eulalia Lopez B,felipa86@hotmail.com,973793389,Coordin,Prospecto,4,3
46,Eusebia de Carl,custodialara@gmail.com,956792612,Gerente,Cliente,1,5
47,Marc Rovira Oje,hvidal@yahoo.com,953551839,Ejecutiv,Prospecto,1,4
48,Celestina Iñigu,vizcainoangela@hotmail.com,916240908,Gerente,Cliente,4,3
49,Germán Rosado,estrella51@mas.es,902823170,Gerente,Cliente,1,2
50,Graciana Marqué,rpinilla@davila.com,995004803,Manager,Cliente,2,2
